match,team,oppnent_team,date,year,winning_team,won_by,scorecard,team_logo,opponent_team_logo
 71st match, Chargers , RCB,May 20,2012,Chargers , 9 runs,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/chennai-super-kings-vs-delhi-daredevils-2nd-qualifying-match-548380/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
 68th match, Chargers , Royals,May 18,2012,Chargers , 5 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/delhi-daredevils-vs-kolkata-knight-riders-1st-qualifying-match-548378/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
 61st match, Chargers , Kings XI,May 13,2012,Kings XI , 4 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/kings-xi-punjab-vs-delhi-daredevils-69th-match-548374/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
 55th match, Chargers , Daredevils,May 10,2012,Daredevils , 9 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/delhi-daredevils-vs-royal-challengers-bangalore-67th-match-548372/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
 53rd match, Chargers , Kings XI,May 08,2012,Kings XI , 25 runs,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/delhi-daredevils-vs-kings-xi-punjab-64th-match-548369/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
 50th match, Chargers , RCB,May 06,2012,RCB , 5 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/chennai-super-kings-vs-delhi-daredevils-59th-match-548364/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
 46th match, Chargers , Super Kings,May 04,2012,Super Kings , 10 runs,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/deccan-chargers-vs-delhi-daredevils-55th-match-548329/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
 42nd match, Chargers , Warriors,May 01,2012,Chargers , 13 runs,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/delhi-daredevils-vs-kolkata-knight-riders-51st-match-548357/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/156200/156230.png"
 40th match, Chargers , Mumbai,April 29,2012,Mumbai , 5 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/rajasthan-royals-vs-delhi-daredevils-43rd-match-548349/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
 35th match, Chargers , Warriors,April 26,2012,Chargers , 18 runs,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/delhi-daredevils-vs-rajasthan-royals-39th-match-548345/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/156200/156230.png"
 32nd match, Chargers , KKR,April 24,2012,Match abandoned without a ball bowled,,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/delhi-daredevils-vs-mumbai-indians-36th-match-548342/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
 29th match, Chargers , KKR,April 22,2012,KKR , 5 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/pune-warriors-vs-delhi-daredevils-31st-match-548337/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
 23rd match, Chargers , Daredevils,April 19,2012,Daredevils , 5 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/delhi-daredevils-vs-pune-warriors-27th-match-548333/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
 20th match, Chargers , Royals,April 17,2012,Royals , 5 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/delhi-daredevils-vs-deccan-chargers-23rd-match-548321/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
 9th match, Chargers , Mumbai,April 09,2012,Mumbai , 5 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/mumbai-indians-vs-delhi-daredevils-19th-match-548325/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
 6th match, Chargers , Super Kings,April 07,2012,Super Kings , 74 runs,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/delhi-daredevils-vs-chennai-super-kings-11th-match-548316/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
