match,team,oppnent_team,date,year,winning_team,won_by,scorecard,team_logo,opponent_team_logo
 69th match, Kings XI , Daredevils,May 19,2012,Daredevils , 6 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/chennai-super-kings-vs-delhi-daredevils-2nd-qualifying-match-548380/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
 66th match, Kings XI , Super Kings,May 17,2012,Kings XI , 6 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/delhi-daredevils-vs-kolkata-knight-riders-1st-qualifying-match-548378/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
 64th match, Kings XI , Daredevils,May 15,2012,Daredevils , 5 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/kings-xi-punjab-vs-delhi-daredevils-69th-match-548374/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
 61st match, Kings XI , Chargers,May 13,2012,Kings XI , 4 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/delhi-daredevils-vs-royal-challengers-bangalore-67th-match-548372/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg"
 53rd match, Kings XI , Chargers,May 08,2012,Kings XI , 25 runs,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/delhi-daredevils-vs-kings-xi-punjab-64th-match-548369/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg"
 48th match, Kings XI , Royals,May 05,2012,Royals , 43 runs,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/chennai-super-kings-vs-delhi-daredevils-59th-match-548364/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
 44th match, Kings XI , RCB,May 02,2012,Kings XI , 4 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/deccan-chargers-vs-delhi-daredevils-55th-match-548329/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
 37th match, Kings XI , Super Kings,April 28,2012,Kings XI , 7 runs,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/delhi-daredevils-vs-kolkata-knight-riders-51st-match-548357/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
 33rd match, Kings XI , Mumbai,April 25,2012,Mumbai , 4 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/rajasthan-royals-vs-delhi-daredevils-43rd-match-548349/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
 28th match, Kings XI , Mumbai,April 22,2012,Kings XI , 6 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/delhi-daredevils-vs-rajasthan-royals-39th-match-548345/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
