TEAMS,M,W,L,PT,NRR,LOGO
SUNRISERS HYDERABAD,14,9,5,18,0.284,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313480.logo.png"
CHENNAI SUPER KINGS,14,9,5,18,0.253,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
KOLKATA KNIGHT RIDERS,14,8,6,16,-0.07,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
RAJASTHAN ROYALS,14,7,7,14,-0.25,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
MUMBAI INDIANS,14,6,8,12,0.317,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
ROYAL CHALLENGERS BANGALORE,14,6,8,12,0.129,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
KINGS XI PUNJAB,14,6,8,12,-0.502,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
DELHI DAREDEVILS,14,5,9,10,-0.222,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
