TEAMS,M,W,L,PT,NRR,LOGO
GUJARAT LIONS,14,9,5,18,-0.374,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313500/313525.logo.png"
ROYAL CHALLENGERS BANGALORE,14,8,6,16,0.932,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
SUNRISERS HYDERABAD,14,8,6,16,0.245,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313480.logo.png"
KOLKATA KNIGHT RIDERS,14,8,6,16,0.106,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
MUMBAI INDIANS,14,7,7,14,-0.146,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
DELHI DAREDEVILS,14,7,7,14,-0.155,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
RISING PUNE SUPERGIANTS,14,5,9,10,0.015,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313500/313524.logo.png"
KINGS XI PUNJAB,14,4,10,8,-0.646,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
