TEAMS,M,W,L,PT,NRR,LOGO
ROYAL CHALLENGERS BANGALORE,14,9,4,19,0.326,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
CHENNAI SUPER KINGS,14,9,5,18,0.443,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
MUMBAI INDIANS,14,9,5,18,0.04,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
KOLKATA KNIGHT RIDERS,14,8,6,16,0.433,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
KINGS XI PUNJAB,14,7,7,14,-0.051,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
RAJASTHAN ROYALS,14,6,7,13,-0.691,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
DECCAN CHARGERS,14,6,8,12,0.222,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg"
KOCHI TUSKERS KERALA,14,6,8,12,-0.214,https://upload.wikimedia.org/wikipedia/en/9/96/Kochi_Tuskers_Kerala_Logo.svg
PUNE WARRIORS,14,4,9,9,-0.134,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/156200/156230.png"
DELHI DAREDEVILS,14,4,9,9,-0.448,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
