TEAMS,M,W,L,PT,NRR,LOGO
MUMBAI INDIANS,14,10,4,20,1.084,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
DECCAN CHARGERS,14,8,6,16,-0.297,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg"
CHENNAI SUPER KINGS,14,7,7,14,0.268,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
ROYAL CHALLENGERS BANGALORE,14,7,7,14,0.224,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
DELHI DAREDEVILS,14,7,7,14,0.021,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
KOLKATA KNIGHT RIDERS,14,7,7,14,-0.341,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
RAJASTHAN ROYALS,14,6,8,12,-0.514,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
KINGS XI PUNJAB,14,4,10,8,-0.478,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
