TEAMS,M,W,L,PT,NRR,LOGO
MUMBAI INDIANS,14,9,5,18,0.421,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
CHENNAI SUPER KINGS,14,9,5,18,0.131,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
DELHI CAPITALS,14,9,5,18,0.044,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
SUNRISERS HYDERABAD,14,6,8,12,0.577,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313480.logo.png"
KOLKATA KNIGHT RIDERS,14,6,8,12,0.028,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
KINGS XI PUNJAB,14,6,8,12,-0.251,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
RAJASTHAN ROYALS,14,5,8,11,-0.449,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
ROYAL CHALLENGERS BANGALORE,14,5,8,11,-0.607,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
