match,team,oppnent_team,date,year,winning_team,won_by,scorecard,team_logo,opponent_team_logo
 56th match, KKR , Mumbai,April 19,2010,KKR , 9 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/mumbai-indians-vs-chennai-super-kings-final-419165/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
 53rd match, KKR , Royals,April 17,2010,KKR , 8 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/mumbai-indians-vs-royal-challengers-bangalore-1st-semi-final-419162/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
 48th match, KKR , Super Kings,April 13,2010,Super Kings , 9 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/kolkata-knight-riders-vs-mumbai-indians-56th-match-419161/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
 43rd match, KKR , RCB,April 10,2010,RCB , 7 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/royal-challengers-bangalore-vs-mumbai-indians-52nd-match-419157/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
 39th match, KKR , Daredevils,April 07,2010,KKR , 14 runs,https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/mumbai-indians-vs-delhi-daredevils-47th-match-419152/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
 34th match, KKR , Kings XI,April 04,2010,Kings XI , 8 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/rajasthan-royals-vs-mumbai-indians-45th-match-419150/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
 30th match, KKR , Chargers,April 01,2010,KKR , 24 runs,https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/kings-xi-punjab-vs-mumbai-indians-41st-match-419146/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg"
 26th match, KKR , Daredevils,March 29,2010,Daredevils , 40 runs,https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/chennai-super-kings-vs-mumbai-indians-37th-match-419142/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
 23rd match, KKR , Kings XI,March 27,2010,KKR , 39 runs,https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/mumbai-indians-vs-deccan-chargers-33rd-match-419138/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
 17th match, KKR , Mumbai,March 22,2010,Mumbai , 7 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/mumbai-indians-vs-kings-xi-punjab-27th-match-419132/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
 13th match, KKR , Royals,March 20,2010,Royals , 34 runs,https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/deccan-chargers-vs-mumbai-indians-25th-match-419130/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
 8th match, KKR , Super Kings,March 16,2010,Super Kings , 55 runs,https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/mumbai-indians-vs-chennai-super-kings-21st-match-419125/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
 4th match, KKR , RCB,March 14,2010,KKR , 7 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/mumbai-indians-vs-kolkata-knight-riders-17th-match-419122/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
 1st match, KKR , Chargers,March 12,2010,KKR , 11 runs,https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/mumbai-indians-vs-royal-challengers-bangalore-14th-match-419119/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg"
