match,team,oppnent_team,date,year,winning_team,won_by,scorecard,team_logo,opponent_team_logo
 70th match, RCB , Super Kings,May 18,2013,RCB , 24 runs,https://www.espncricinfo.com/series/indian-premier-league-2013-586733/chennai-super-kings-vs-mumbai-indians-final-598073/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
 63rd match, RCB , Kings XI,May 14,2013,Kings XI , 7 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2013-586733/chennai-super-kings-vs-mumbai-indians-qualifier-1-598070/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
 60th match, RCB , KKR,May 12,2013,KKR , 5 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2013-586733/royal-challengers-bangalore-vs-chennai-super-kings-70th-match-598068/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
 57th match, RCB , Daredevils,May 10,2013,RCB , 4 runs,https://www.espncricinfo.com/series/indian-premier-league-2013-586733/chennai-super-kings-vs-delhi-daredevils-64th-match-598062/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
 51st match, RCB , Kings XI,May 06,2013,Kings XI , 6 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2013-586733/rajasthan-royals-vs-chennai-super-kings-61st-match-598058/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
 46th match, RCB , Warriors,May 02,2013,RCB , 17 runs,https://www.espncricinfo.com/series/indian-premier-league-2013-586733/sunrisers-hyderabad-vs-chennai-super-kings-54th-match-598051/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/156200/156230.png"
 40th match, RCB , Royals,April 29,2013,Royals , 4 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2013-586733/mumbai-indians-vs-chennai-super-kings-49th-match-598046/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
 37th match, RCB , Mumbai,April 27,2013,Mumbai , 58 runs,https://www.espncricinfo.com/series/indian-premier-league-2013-586733/chennai-super-kings-vs-kings-xi-punjab-45th-match-598041/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
 31st match, RCB , Warriors,April 23,2013,RCB , 130 runs,https://www.espncricinfo.com/series/indian-premier-league-2013-586733/pune-warriors-vs-chennai-super-kings-42nd-match-598038/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/156200/156230.png"
 27th match, RCB , Royals,April 20,2013,RCB , 7 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2013-586733/chennai-super-kings-vs-kolkata-knight-riders-38th-match-598034/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
 21st match, RCB , Daredevils,April 16,2013,Match tied (RCB won the one-over eliminator),,https://www.espncricinfo.com/series/indian-premier-league-2013-586733/chennai-super-kings-vs-sunrisers-hyderabad-34th-match-598030/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
 16th match, RCB , Super Kings,April 13,2013,Super Kings , 4 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2013-586733/chennai-super-kings-vs-rajasthan-royals-30th-match-598026/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
 12th match, RCB , KKR,April 11,2013,RCB , 8 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2013-586733/kolkata-knight-riders-vs-chennai-super-kings-26th-match-598022/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
 9th match, RCB , Sunrisers,April 09,2013,RCB , 7 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2013-586733/delhi-daredevils-vs-chennai-super-kings-24th-match-598020/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313480.logo.png"
 7th match, RCB , Sunrisers,April 07,2013,Match tied (Sunrisers won the one-over eliminator),,https://www.espncricinfo.com/series/indian-premier-league-2013-586733/chennai-super-kings-vs-pune-warriors-19th-match-598015/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313480.logo.png"
 2nd match, RCB , Mumbai,April 04,2013,RCB , 2 runs,https://www.espncricinfo.com/series/indian-premier-league-2013-586733/chennai-super-kings-vs-royal-challengers-bangalore-16th-match-598012/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
